double,hit,stand,player_total,dealer_card_up,best_action,split
-1.7083428571428572,-0.8541714285714286,0.6385785714285714,20,2,stand,
-1.7070142857142858,-0.8535071428571429,0.6480842857142857,20,3,stand,
-1.7047314285714286,-0.8523657142857143,0.6581342857142857,20,4,stand,
-1.7072628571428572,-0.8536314285714286,0.6716228571428572,20,5,stand,
-1.7053457142857142,-0.8526728571428571,0.7028271428571429,20,6,stand,
-1.7014,-0.8507,0.7719528571428571,20,7,stand,
-1.70088,-0.85044,0.7905085714285714,20,8,stand,
-1.699682857142857,-0.8498414285714285,0.75546,20,9,stand,
-1.715228571428571,-0.8576142857142857,0.4376,20,10,stand,
-1.8003142857142858,-0.9001571428571429,0.15100714285714287,20,11,stand,
-1.4599685714285715,-0.7279100000000001,0.3847,19,2,stand,
-1.4524885714285714,-0.7277128571428572,0.4042342857142857,19,3,stand,
-1.4529942857142857,-0.7266414285714285,0.42254857142857133,19,4,stand,
-1.45246,-0.7262628571428571,0.4385514285714286,19,5,stand,
-1.4460600000000001,-0.7231357142857143,0.4941757142857143,19,6,stand,
-1.4298514285714286,-0.7150757142857143,0.6164885714285714,19,7,stand,
-1.4261857142857144,-0.7138114285714285,0.5935042857142857,19,8,stand,
-1.4291,-0.7143342857142857,0.28923571428571426,19,9,stand,
-1.3467657142857143,-0.6731628571428572,0.05924714285714286,19,10,stand,
-1.0040657142857143,-0.5006042857142857,0.19180142857142854,19,11,stand,
-1.2468257142857142,-0.6230685714285714,0.12081142857142856,18,2,stand,
-1.24022,-0.6203557142857142,0.14759142857142854,18,3,stand,
-1.2356371428571429,-0.6180171428571428,0.17775285714285713,18,4,stand,
-1.2294628571428572,-0.6157114285714286,0.19993857142857144,18,5,stand,
-1.2157799999999999,-0.6079157142857143,0.28382142857142856,18,6,stand,
-1.18496,-0.5899385714285714,0.39941,18,7,stand,
-1.18384,-0.58927,0.10689285714285714,18,8,stand,
-1.2297628571428572,-0.6142842857142857,-0.18276285714285714,18,9,stand,
-1.1983371428571428,-0.5989885714285714,-0.16135857142857146,18,10,stand,
-0.8673485714285715,-0.4342142857142857,-0.06802857142857142,18,11,stand,
-1.0759457142857145,-0.5362171428571428,-0.15214,17,2,stand,
-1.06512,-0.5305328571428571,-0.11943714285714285,17,3,stand,
-1.0542457142857142,-0.52657,-0.0816,17,4,stand,
-1.0496942857142857,-0.5229928571428571,-0.04483714285714286,17,5,stand,
-1.019337142857143,-0.51039,0.011657142857142856,17,6,stand,
-0.9690200000000001,-0.4818057142857143,-0.1065,17,7,stand,
-1.0128514285714283,-0.5050985714285714,-0.3815428571428571,17,8,stand,
-1.1041828571428571,-0.5529585714285714,-0.4215528571428571,17,9,stand,
-1.0782971428571428,-0.5390228571428571,-0.3872757142857143,17,10,stand,
-0.7720742857142857,-0.3866285714285714,-0.3304614285714286,17,11,stand,
-0.9423428571428571,-0.47097,-0.2940771428571429,16,2,stand,
-0.93006,-0.4635071428571429,-0.25168,16,3,stand,
-0.9149799999999999,-0.45588999999999996,-0.2108857142857143,16,4,stand,
-0.8952285714285714,-0.4491671428571429,-0.16726,16,5,stand,
-0.8610257142857143,-0.4313028571428572,-0.15422857142857144,16,6,stand,
-0.8312514285714285,-0.4144942857142857,-0.4731685714285714,16,7,hit,
-0.9173914285714284,-0.4576028571428571,-0.5116228571428572,16,8,hit,
-1.0182257142857143,-0.5091857142857142,-0.53978,16,9,hit,
-0.9966628571428572,-0.4976885714285714,-0.4982828571428571,16,10,hit,
-0.71888,-0.35821714285714285,-0.4615528571428572,16,11,hit,
-0.8325942857142857,-0.4173271428571429,-0.2931628571428572,15,2,stand,
-0.8131114285714286,-0.4046871428571429,-0.25028,15,3,stand,
-0.7920657142857143,-0.3954928571428572,-0.2115857142857143,15,4,stand,
-0.7718314285714286,-0.3833114285714286,-0.1674342857142857,15,5,stand,
-0.7316371428571429,-0.3646457142857143,-0.15352000000000002,15,6,stand,
-0.7470314285714286,-0.36880999999999997,-0.4747314285714286,15,7,hit,
-0.8408028571428572,-0.4164357142857143,-0.5114342857142857,15,8,hit,
-0.9468228571428572,-0.47168999999999994,-0.5441057142857143,15,9,hit,
-0.9306314285714286,-0.4647971428571429,-0.4991457142857143,15,10,hit,
